county_fips,industry_code,year,bls_annual_establishments,bls_annual_employment,bls_total_annual_wages
48133,1026,2021,54,564,8965190
48135,1026,2021,393,8566,206887264
48137,1026,2021,5,21,477371
48139,1026,2021,338,5965,118097163
48141,1026,2021,1872,37641,718751028
48143,1026,2021,116,1954,36329870
48145,1026,2021,16,196,3082935
48147,1026,2021,51,752,12269862
48149,1026,2021,109,1132,24096948
48151,1026,2021,5,25,305357
48153,1026,2021,9,59,842743
48155,1026,2021,5,32,522052
48157,1026,2021,1444,26771,597362340
48159,1026,2021,22,270,5340664
48161,1026,2021,35,534,9162386
48163,1026,2021,48,397,7041064
48165,1026,2021,41,482,10188269
48167,1026,2021,881,18828,439290921
48169,1026,2021,17,151,2206999
48171,1026,2021,169,2237,63789446
48173,1026,2021,1,0,0
48175,1026,2021,21,203,3102771
48177,1026,2021,55,521,11792818
48179,1026,2021,50,759,12659546
48181,1026,2021,286,5499,113871903
48183,1026,2021,408,7414,142317824
48185,1026,2021,52,524,11895698
48187,1026,2021,240,4186,88943864
48189,1026,2021,64,1233,20656502
48191,1026,2021,11,86,1018606
48193,1026,2021,25,261,4379743
48195,1026,2021,8,66,707630
48197,1026,2021,9,93,970732
48199,1026,2021,116,1792,29380058
48201,1026,2021,11204,220520,6320939935
48203,1026,2021,119,1727,28049726
48205,1026,2021,4,105,2077931
48207,1026,2021,13,118,1502557
48209,1026,2021,572,10865,238916917
48211,1026,2021,13,116,1889458
48213,1026,2021,177,2404,44207714
48215,1026,2021,1332,26609,502577541
48217,1026,2021,82,1117,19135099
48219,1026,2021,48,664,11494445
48221,1026,2021,162,2449,51891192
48223,1026,2021,83,1452,29602361
48225,1026,2021,63,610,10780499
48227,1026,2021,101,1182,23721533
48229,1026,2021,6,14,151475
48231,1026,2021,182,2929,57405123
48233,1026,2021,54,723,12972615
48235,1026,2021,6,41,908016
48237,1026,2021,21,172,3293352
48239,1026,2021,30,339,5575717
48241,1026,2021,63,1026,18059275
48243,1026,2021,15,203,5591368
48245,1026,2021,577,11205,230217115
48247,1026,2021,16,80,1210250
48249,1026,2021,75,1507,22938169
48251,1026,2021,347,5671,109360858
48253,1026,2021,36,223,3077061
48255,1026,2021,49,548,9114390
48257,1026,2021,222,3721,69762352
48259,1026,2021,143,2078,52536071
48261,1026,2021,4,16,1045037
48263,1026,2021,2,0,0
48265,1026,2021,166,2558,70103943
48267,1026,2021,30,272,5390082
48271,1026,2021,6,21,254437
48273,1026,2021,87,1554,29544396
48275,1026,2021,12,77,1151489
48277,1026,2021,123,2008,36427931
48279,1026,2021,16,197,2655311
48281,1026,2021,36,486,7686877
48283,1026,2021,36,315,6747455
48285,1026,2021,31,281,5822642
48287,1026,2021,35,396,8343393
48289,1026,2021,39,410,6445272
48291,1026,2021,113,1467,30936791
48293,1026,2021,42,504,7627504
48295,1026,2021,1,0,0
48297,1026,2021,33,278,4980178
48299,1026,2021,64,1215,41365331
48301,1026,2021,2,0,0
48303,1026,2021,843,20718,411709736
48305,1026,2021,4,4,42753
48307,1026,2021,26,259,4887355
48309,1026,2021,631,12406,251257011
48311,1026,2021,4,19,502132
48313,1026,2021,32,507,7745334
48315,1026,2021,23,321,5875320
48317,1026,2021,14,110,1987817
48319,1026,2021,18,147,2542752
48321,1026,2021,111,1203,22687705
