county_fips,year,bea_total_income,population
8103,2022,371692000,6569
8105,2020,589391000,11538
8105,2021,634260000,11388
8105,2022,617364000,11325
8107,2020,2281291000,24829
8107,2021,2731620000,25056
8107,2022,2982787000,25007
8109,2020,255719000,6393
8109,2021,280723000,6505
8109,2022,246690000,6623
8111,2020,38435000,710
8111,2021,42114000,740
8111,2022,42697000,803
8113,2020,811449000,8054
8113,2021,1013665000,8074
8113,2022,1109497000,8003
8115,2020,97909000,2390
8115,2021,120309000,2331
8115,2022,101101000,2295
8117,2020,2412349000,30994
8117,2021,2672458000,30971
8117,2022,2886032000,30565
8119,2020,1405985000,24747
8119,2021,1566698000,24939
8119,2022,1625621000,24857
8121,2020,194514000,4808
8121,2021,230363000,4850
8121,2022,207396000,4812
8123,2020,17207773000,331427
8123,2021,19230730000,339811
8123,2022,20611438000,350176
8125,2020,406736000,9979
8125,2021,495408000,9943
8125,2022,444942000,9899
9001,2020,110675438000,955261
9001,2021,115548981000,963050
9001,2022,120546115000,962946
9003,2020,59570992000,896666
9003,2021,62417323000,898265
9003,2022,63219541000,898783
9005,2020,13112258000,184818
9005,2021,14144655000,185799
9005,2022,14879454000,186116
9007,2020,11602416000,163970
9007,2021,12135126000,166051
9007,2022,12422202000,166537
9009,2020,52231213000,863234
9009,2021,55275981000,869138
9009,2022,56370422000,869527
9011,2020,16360343000,267680
9011,2021,17220107000,268300
9011,2022,17423249000,268681
9013,2020,8956330000,149443
9013,2021,9405669000,155971
9013,2022,9618519000,156405
9015,2020,5864614000,116290
9015,2021,6223096000,116781
9015,2022,6271246000,117210
10001,2020,8398176000,182362
10001,2021,9092417000,184371
10001,2022,9569448000,186946
10003,2020,33466625000,570873
10003,2021,34767059000,572714
10003,2022,38211010000,575494
10005,2020,13473606000,238879
10005,2021,15312853000,247722
10005,2022,16626139000,255956
11001,2020,60178636000,670868
11001,2021,65205559000,668791
11001,2022,64472803000,671803
12001,2020,13331166000,279742
12001,2021,14665785000,281817
12001,2022,14938197000,284030
12003,2020,1098394000,28115
12003,2021,1206199000,28673
12003,2022,1244548000,27803
12005,2020,8737281000,174506
12005,2021,9807417000,179498
12005,2022,10046785000,185134
12007,2020,1057441000,28224
12007,2021,1126010000,28050
12007,2022,1134893000,27313
12009,2020,31173262000,608713
12009,2021,34552679000,617742
12009,2022,35833890000,630693
12011,2020,108977966000,1943266
12011,2021,123536513000,1935729
12011,2022,128520356000,1947026
12013,2020,453500000,13703
12013,2021,491498000,13514
12013,2022,488616000,13464
12015,2020,9103928000,188013
12015,2021,10288088000,194934
12015,2022,10786996000,202661
12017,2020,6430151000,154565
12017,2021,7179333000,158113
12017,2022,7367510000,162529
12019,2020,10468337000,218933
12019,2021,11754540000,222533
12019,2022,12166702000,226589
12021,2020,41877033000,377293
12021,2021,48804286000,387241
12021,2022,52200912000,397994
12023,2020,2786225000,69737
12023,2021,3075087000,69902
12023,2022,3105848000,71908
12027,2020,1042810000,34087
12027,2021,1141445000,34340
12027,2022,1161519000,35312
12029,2020,551081000,16690
12029,2021,600796000,16905
12029,2022,601705000,17124
12031,2020,49788119000,997604
12031,2021,55468854000,1002252
12031,2022,57096971000,1016536
12033,2020,15315679000,322551
12033,2021,16819313000,323480
12033,2022,16977017000,324878
12035,2020,6371859000,116030
12035,2021,7081613000,120904
12035,2022,7639215000,126705
12037,2020,483956000,12463
12037,2021,545014000,12175
12037,2022,569671000,12498
12039,2020,1771996000,43402
12039,2021,1939818000,43554
12039,2022,1918876000,43403
12041,2020,711358000,17883
12041,2021,773159000,18306
12041,2022,801000000,18992
